dataset,band,unit,tax,currency,geo,period,price_EUR_kWh,retrieved_date
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2020-S2,0.0843,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2021-S1,0.0962,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2021-S2,0.1564,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2022-S1,0.1736,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2022-S2,0.1794,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2023-S1,0.1492,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2023-S2,0.1362,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2024-S1,0.1136,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2024-S2,0.1322,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2025-S1,0.1271,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2025-S2,0.1413,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2019-S1,0.1619,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2019-S2,0.18,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2020-S1,0.1448,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2020-S2,0.1364,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2021-S1,0.1515,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2021-S2,0.1946,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2022-S1,0.2471,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2022-S2,0.3162,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2023-S1,0.2762,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2023-S2,0.2759,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2024-S1,0.2453,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2024-S2,0.2578,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2025-S1,0.2321,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CY,2025-S2,0.2429,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2019-S1,0.0768,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2019-S2,0.0784,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2020-S1,0.0846,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2020-S2,0.0842,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2021-S1,0.0883,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2021-S2,0.0905,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2022-S1,0.1573,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2022-S2,0.184,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2023-S1,0.1974,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2023-S2,0.1798,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2024-S1,0.185,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2024-S2,0.1939,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2025-S1,0.1844,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,CZ,2025-S2,0.1825,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2019-S1,0.1557,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2019-S2,0.1608,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2020-S1,0.1781,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2020-S2,0.1818,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2021-S1,0.1813,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2021-S2,0.186,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2022-S1,0.2132,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2022-S2,0.2056,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2023-S1,0.2192,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2023-S2,0.2175,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2024-S1,0.2328,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2024-S2,0.2359,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2025-S1,0.2281,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DE,2025-S2,0.2264,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2019-S1,0.0707,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2019-S2,0.0681,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2020-S1,0.0612,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2020-S2,0.0686,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2021-S1,0.0797,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2021-S2,0.1164,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2022-S1,0.1609,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2022-S2,0.2278,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2023-S1,0.1339,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2023-S2,0.117,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2024-S1,0.1055,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2024-S2,0.1284,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2025-S1,0.1236,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,DK,2025-S2,0.1216,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2019-S1,0.1303,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2019-S2,0.1289,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2020-S1,0.1353,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2020-S2,0.1355,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2021-S1,0.1386,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2021-S2,0.1542,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2022-S1,0.1915,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2022-S2,0.2151,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2023-S1,0.2234,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2023-S2,0.2083,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2024-S1,0.1948,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2024-S2,0.2013,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2025-S1,0.1978,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EA,2025-S2,0.1898,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2019-S1,0.0917,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2019-S2,0.0915,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2020-S1,0.0823,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2020-S2,0.0873,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2021-S1,0.0957,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2021-S2,0.1526,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2022-S1,0.1625,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2022-S2,0.2586,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2023-S1,0.1567,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2023-S2,0.157,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2024-S1,0.1429,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2024-S2,0.1484,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2025-S1,0.1435,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EE,2025-S2,0.141,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2019-S1,0.1074,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2019-S2,0.1084,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2020-S1,0.1076,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2020-S2,0.1059,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2021-S1,0.1174,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2021-S2,0.2238,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2022-S1,0.231,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2022-S2,0.2457,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2023-S1,0.1902,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2023-S2,0.1832,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2024-S1,0.155,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2024-S2,0.2005,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2025-S1,0.1938,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EL,2025-S2,0.174,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2019-S1,0.1148,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2019-S2,0.1104,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2020-S1,0.1076,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2020-S2,0.1175,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2021-S1,0.1074,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2021-S2,0.1459,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2022-S1,0.1879,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2022-S2,0.2202,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2023-S1,0.1597,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2023-S2,0.1536,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2024-S1,0.1371,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2024-S2,0.1426,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2025-S1,0.1411,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,ES,2025-S2,0.1324,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2019-S1,0.1218,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2019-S2,0.1192,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2020-S1,0.1255,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2020-S2,0.1259,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2021-S1,0.129,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2021-S2,0.1447,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2022-S1,0.1837,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2022-S2,0.2107,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2023-S1,0.2151,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2023-S2,0.2003,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2024-S1,0.1885,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2024-S2,0.1941,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2025-S1,0.1903,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,EU27_2020,2025-S2,0.1837,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2019-S1,0.0709,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2019-S2,0.0721,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2020-S1,0.0695,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2020-S2,0.0759,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2021-S1,0.0676,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2021-S2,0.08,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2022-S1,0.0808,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2022-S2,0.115,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2023-S1,0.0957,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2023-S2,0.0885,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2024-S1,0.087,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2024-S2,0.0786,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2025-S1,0.0782,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FI,2025-S2,0.0748,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2019-S1,0.1024,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2019-S2,0.095,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2020-S1,0.1057,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2020-S2,0.0954,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2021-S1,0.1057,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2021-S2,0.1018,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2022-S1,0.1273,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2022-S2,0.1267,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2023-S1,0.2529,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2023-S2,0.2133,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2024-S1,0.1802,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2024-S2,0.1785,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2025-S1,0.1661,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,FR,2025-S2,0.1534,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2019-S1,0.0595,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2019-S2,0.0475,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2020-S1,0.0505,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2020-S2,0.0435,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2021-S1,0.0713,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2021-S2,0.0657,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2022-S2,0.0951,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2023-S1,0.0928,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2023-S2,0.0897,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2024-S1,0.0814,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2024-S2,0.0805,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2025-S1,0.0857,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,GE,2025-S2,0.0831,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2019-S1,0.1034,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2019-S2,0.1055,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2020-S1,0.1043,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2020-S2,0.1023,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2021-S1,0.1025,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2021-S2,0.1142,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2022-S1,0.1554,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2022-S2,0.2391,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2023-S1,0.2925,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2023-S2,0.2332,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2024-S1,0.2051,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2024-S2,0.1764,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2025-S1,0.1738,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HR,2025-S2,0.1548,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HU,2019-S1,0.097,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,HU,2019-S2,0.0954,2026-05-28
