dataset,band,unit,tax,currency,geo,period,price_EUR_kWh_GCV,retrieved_date
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2022-S2,0.0817,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2023-S1,0.0814,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2023-S2,0.0683,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2024-S1,0.0618,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2024-S2,0.0647,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2025-S1,0.0666,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2025-S2,0.0609,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2019-S1,0.0343,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2019-S2,0.0333,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2020-S1,0.0293,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2020-S2,0.0248,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2021-S1,0.0317,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2021-S2,0.067,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2022-S1,0.1014,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2022-S2,0.134,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2023-S1,0.0834,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2023-S2,0.0568,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2024-S1,0.0515,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2024-S2,0.0608,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2025-S1,0.0637,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EE,2025-S2,0.0567,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2019-S1,0.0343,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2019-S2,0.0334,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2020-S1,0.0258,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2020-S2,0.0213,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2021-S1,0.0252,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2021-S2,0.0499,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2022-S1,0.0751,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2022-S2,0.1292,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2023-S1,0.0756,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2023-S2,0.0527,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2024-S1,0.0423,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2024-S2,0.0483,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2025-S1,0.051,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EL,2025-S2,0.0424,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2019-S1,0.0308,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2019-S2,0.0307,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2020-S1,0.0286,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2020-S2,0.0235,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2021-S1,0.0237,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2021-S2,0.0338,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2022-S1,0.0729,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2022-S2,0.1047,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2023-S1,0.067,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2023-S2,0.0566,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2024-S1,0.0443,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2024-S2,0.0507,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2025-S1,0.0513,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,ES,2025-S2,0.0508,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2019-S1,0.0335,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2019-S2,0.031,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2020-S1,0.0304,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2020-S2,0.0281,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2021-S1,0.0302,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2021-S2,0.0419,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2022-S1,0.0656,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2022-S2,0.0867,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2023-S1,0.0824,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2023-S2,0.0691,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2024-S1,0.0619,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2024-S2,0.064,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2025-S1,0.066,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EU27_2020,2025-S2,0.0605,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2019-S1,0.0627,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2019-S2,0.0555,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2020-S1,0.0513,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2020-S2,0.049,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2021-S1,0.06,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2021-S2,0.1009,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2022-S1,0.137,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2022-S2,0.1815,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2023-S1,0.1156,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2023-S2,0.0985,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2024-S1,0.0853,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2024-S2,0.0913,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2025-S1,0.0978,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FI,2025-S2,0.0863,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2019-S1,0.0379,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2019-S2,0.0368,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2020-S1,0.034,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2020-S2,0.0349,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2021-S1,0.0343,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2021-S2,0.0504,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2022-S1,0.0614,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2022-S2,0.0733,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2023-S1,0.0823,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2023-S2,0.078,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2024-S1,0.0695,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2024-S2,0.0688,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2025-S1,0.0697,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,FR,2025-S2,0.0629,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2019-S1,0.023,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2019-S2,0.0227,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2020-S1,0.0212,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2020-S2,0.0178,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2021-S1,0.0172,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2021-S2,0.0189,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2022-S1,0.0239,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2022-S2,0.0324,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2023-S1,0.0321,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2023-S2,0.0278,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2024-S1,0.0294,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2024-S2,0.0282,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2025-S1,0.0286,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,GE,2025-S2,0.0262,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2019-S1,0.0299,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2019-S2,0.03,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2020-S1,0.0279,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2020-S2,0.027,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2021-S1,0.0294,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2021-S2,0.0382,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2022-S1,0.0561,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2022-S2,0.0819,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2023-S1,0.0651,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2023-S2,0.063,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2024-S1,0.0531,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2024-S2,0.0522,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2025-S1,0.0515,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HR,2025-S2,0.0486,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HU,2019-S1,0.029,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HU,2019-S2,0.0273,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HU,2020-S1,0.0266,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HU,2020-S2,0.0221,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,HU,2021-S1,0.0224,2026-05-28
