dataset,band_code,band_label,unit,tax,currency,geo,period,year,half,price_EUR_kWh,retrieved_date
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2019-S1,2019,S1,0.0817,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2019-S2,2019,S2,0.0826,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2020-S1,2020,S1,0.0781,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2020-S2,2020,S2,0.0789,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2021-S1,2021,S1,0.0903,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2021-S2,2021,S2,0.1473,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2022-S1,2022,S1,0.1657,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2022-S2,2022,S2,0.1614,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2023-S1,2023,S1,0.1409,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2023-S2,2023,S2,0.1323,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2024-S1,2024,S1,0.108,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2024-S2,2024,S2,0.1289,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2025-S1,2025,S1,0.1206,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2025-S2,2025,S2,0.1355,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2007-S2,2007,S2,0.1284,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2008-S1,2008,S1,0.1317,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2008-S2,2008,S2,0.1716,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2009-S1,2009,S1,0.1083,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2009-S2,2009,S2,0.1362,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2010-S1,2010,S1,0.14,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2010-S2,2010,S2,0.162,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2011-S1,2011,S1,0.1515,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2011-S2,2011,S2,0.1973,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2012-S1,2012,S1,0.2094,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2012-S2,2012,S2,0.221,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2013-S1,2013,S1,0.1952,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2013-S2,2013,S2,0.1897,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2014-S1,2014,S1,0.1637,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2014-S2,2014,S2,0.1742,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2015-S1,2015,S1,0.1256,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2015-S2,2015,S2,0.1244,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2016-S1,2016,S1,0.0912,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2016-S2,2016,S2,0.1207,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2017-S1,2017,S1,0.1295,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2017-S2,2017,S2,0.1339,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2018-S1,2018,S1,0.1335,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2018-S2,2018,S2,0.172,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2019-S1,2019,S1,0.1553,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2019-S2,2019,S2,0.1726,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2020-S1,2020,S1,0.1411,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2020-S2,2020,S2,0.1317,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2021-S1,2021,S1,0.1483,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2021-S2,2021,S2,0.1913,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2022-S1,2022,S1,0.2405,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2022-S2,2022,S2,0.3106,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2023-S1,2023,S1,0.2725,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2023-S2,2023,S2,0.2691,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2024-S1,2024,S1,0.2399,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2024-S2,2024,S2,0.25,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2025-S1,2025,S1,0.2267,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CY,2025-S2,2025,S2,0.2366,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2007-S2,2007,S2,0.0778,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2008-S1,2008,S1,0.0925,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2008-S2,2008,S2,0.0939,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2009-S1,2009,S1,0.094,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2009-S2,2009,S2,0.0978,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2010-S1,2010,S1,0.094,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2010-S2,2010,S2,0.0969,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2011-S1,2011,S1,0.0996,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2011-S2,2011,S2,0.0967,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2012-S1,2012,S1,0.0969,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2012-S2,2012,S2,0.0972,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2013-S1,2013,S1,0.0972,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2013-S2,2013,S2,0.0955,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2014-S1,2014,S1,0.0785,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2014-S2,2014,S2,0.0771,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2015-S1,2015,S1,0.0718,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2015-S2,2015,S2,0.072,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2016-S1,2016,S1,0.0639,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2016-S2,2016,S2,0.0629,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2017-S1,2017,S1,0.062,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2017-S2,2017,S2,0.063,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2018-S1,2018,S1,0.0638,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2018-S2,2018,S2,0.0636,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2019-S1,2019,S1,0.073,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2019-S2,2019,S2,0.0755,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2020-S1,2020,S1,0.0812,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2020-S2,2020,S2,0.0817,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2021-S1,2021,S1,0.0882,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2021-S2,2021,S2,0.0992,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2022-S1,2022,S1,0.1648,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2022-S2,2022,S2,0.1718,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2023-S1,2023,S1,0.1832,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2023-S2,2023,S2,0.1728,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2024-S1,2024,S1,0.1732,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,CZ,2024-S2,2024,S2,0.1752,2026-05-28
