eprtr_activity,sector_description,dataset_coverage,dominant_fuels_pct,primary_unit_types,end_use_split,epsilon_recommended,epsilon_range_by_unit,epsilon_source,notes
4(b)/(c),Basic Inorganic Chemicals & Fertilisers,"n=86, ~250 PJ","NatGas ~50%, OtherGas ~25%, Lignite ~10%",Steam boilers; CHP units; Process furnaces; Granulation dryers; Reformers (NH3),Steam ~40%; Direct ~30%; CHP heat ~30%,0.82,0.78-0.90; boiler-heavy weighted avg,Saad et al. 2026; Chemicals BREF 2017,NH3 feedstock gas does not appear in LCP fuel columns (same logic as H2). Reported fuel = combustion for heat. No eta adjustment needed. Apply standard boiler/furnace epsilon to reported LCP fuel.
5(b),Municipal Waste Incineration (WtE),"n=96, 193 PJ dominant","NatGas 54%, Coal 26%, Biomass 12%",Moving grate incinerators; Waste-to-energy boilers; Steam turbines (CHP); Auxiliary gas/coal burners,Steam/district heat ~55%; CHP heat fraction ~45%,0.85,Gas auxiliary boiler 0.88-0.92; Coal auxiliary boiler 0.83-0.88; weighted ~0.85,Waste Incineration BREF 2019; EU IED Art. 50,"IMPORTANT DISTINCTION: fuel in LCP columns (gas, coal) is AUXILIARY burner fuel only - used to maintain >850 degC per EU Waste Incineration Directive. Main energy source is waste itself (not in LCP fuel columns). Apply epsilon to reported fuel as standard boiler combustion. No eta adjustment."
5(a)/(c),Hazardous & Non-hazardous Waste Disposal,"n=26, ~100 PJ","NatGas ~60%, Coal ~20%, Biomass ~15%",Rotary kiln incinerators; High-temp afterburners; Waste-fired boilers; Secondary combustion chambers,Direct kiln combustion ~70%; Heat recovery boiler ~30%,0.75,0.70-0.80 (rotary kiln avg),Waste Incineration BREF 2019,Same auxiliary fuel logic as 5(b). Reported LCP fuel = auxiliary combustion to maintain temperature. Apply epsilon as combustion for heat. No eta adjustment.
6(a),Pulp & Paper Mills (integrated/kraft),"n=65, ~403 PJ","Biomass ~55%, NatGas ~30%, OtherSolid ~8%",Recovery boilers (black liquor); Bark/biomass boilers; CHP back-pressure turbines; Lime kilns; Paper machine dryers,Steam boilers ~50%; CHP heat fraction ~40%; Direct (lime kiln) ~10%,0.82,Recovery boiler 0.65-0.72; Bark/biomass boiler 0.80-0.85; Gas boiler 0.88-0.92; CHP heat 0.40; weighted avg ~0.82,Pulp & Paper BREF 2015; Fraunhofer ISI 2016 Mapping EU Heat; Saad et al. 2026,"Recovery boiler has lower epsilon because it also recovers pulping chemicals (complex process). All combustion = heat. CHP near-universal in Scandinavian integrated mills. OtherSolidFuels = bark, wood waste, sludge. No eta adjustment."
6(b),"Wood Products (panels, sawmills)","n=98, ~331 PJ","Biomass ~50%, NatGas ~35%, OtherSolid ~10%",Wood waste/biomass boilers; Thermal oil heaters; Direct-fired dryers; Hot press platens (steam); CHP units,Steam/thermal oil ~45%; Direct dryers ~35%; CHP heat ~20%,0.8,Biomass boiler 0.80-0.85; Gas boiler 0.88; Direct dryer 0.72-0.78; weighted ~0.80,Wood-Based Panels BREF 2015; Saad et al. 2026,All combustion = heat. Wood-based panels need high-temp drying 150-200 degC and hot pressing. OtherSolidFuels = wood waste from production. No eta adjustment.
8(b)/(b)(ii),Sugar Production (beet & cane),"n=48, 87 PJ (98% of Act.8)","NatGas 86%, Lignite 6%, Biomass 4%",High-pressure steam boilers; Multi-effect evaporators; CHP back-pressure turbines; Juice heaters; Vacuum pans; Pulp dryers,Steam boiler ~50%; CHP heat fraction ~40%; Direct drying ~10%,0.85,Gas boiler 0.88-0.92; CHP heat 0.40; weighted avg ~0.85,Food & Drink BREF 2019; Eichenlaub 2026,All combustion = heat. Sugar processing is highly steam-intensive (100-130 degC multi-effect evaporation). CHP back-pressure turbines near-universal in EU beet sugar plants. Fully consistent with Eichenlaub flat 85% assumption. No eta adjustment.
8(c)/(d)/(e),"Dairy, Brewing & Food Processing",n=1 in data (small sample),"NatGas ~85%, Biomass ~10%",Steam boilers; Pasteurisation systems; Spray dryers; Evaporators; CHP (larger plants),Steam ~65%; Direct heat ~25%; CHP ~10%,0.85,0.82-0.90; boiler-dominated,Food & Drink BREF 2019; Eichenlaub 2026,All combustion = heat. Low-temp steam processes 70-150 degC. Spray drying ~200 degC. Standard gas boiler epsilon applies. Eichenlaub 85% flat assumption fully appropriate here. No eta adjustment.
9(c),Tanning / Other Activities,"n=4, ~8 PJ",NatGas 100%,Steam boilers; Hot water systems; Drying chambers,Steam/hot water ~70%; Direct drying ~30%,0.85,0.88-0.92 (gas boiler),Eichenlaub 2026; EPA boiler efficiency norms,Tiny sample. Low-temp processes <150 degC. All gas = heat. Standard gas boiler epsilon applies directly. No eta adjustment.
,,,,,,,,,
_ = useful heat delivered Ö fuel energy input,,,,,,,,,
