dataset,band_code,band_label,unit,tax,currency,geo,period,year,half,price_EUR_kWh_GCV,retrieved_date
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2018-S1,2018,S1,0.0356,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2018-S2,2018,S2,0.0357,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2019-S1,2019,S1,0.0367,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2019-S2,2019,S2,0.0372,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2020-S1,2020,S1,0.0397,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2020-S2,2020,S2,0.0375,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2021-S1,2021,S1,0.0354,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2021-S2,2021,S2,0.0387,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2022-S1,2022,S1,0.0456,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2022-S2,2022,S2,0.0635,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2023-S1,2023,S1,0.0579,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2023-S2,2023,S2,0.0517,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2024-S1,2024,S1,0.0532,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2024-S2,2024,S2,0.0523,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2025-S1,2025,S1,0.0529,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2025-S2,2025,S2,0.0532,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2007-S2,2007,S2,0.0282,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2008-S1,2008,S1,0.0329,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2008-S2,2008,S2,0.0388,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2009-S1,2009,S1,0.0325,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2009-S2,2009,S2,0.0306,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2010-S1,2010,S1,0.0285,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2010-S2,2010,S2,0.0295,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2011-S1,2011,S1,0.0328,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2011-S2,2011,S2,0.0332,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2012-S1,2012,S1,0.0347,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2012-S2,2012,S2,0.0347,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2013-S1,2013,S1,0.0398,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2013-S2,2013,S2,0.0343,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2014-S1,2014,S1,0.0315,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2014-S2,2014,S2,0.0293,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2015-S1,2015,S1,0.0294,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2015-S2,2015,S2,0.0286,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2016-S1,2016,S1,0.0257,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2016-S2,2016,S2,0.0257,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2017-S1,2017,S1,0.0235,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2017-S2,2017,S2,0.0229,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2018-S1,2018,S1,0.0231,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2018-S2,2018,S2,0.0252,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2019-S1,2019,S1,0.024,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2019-S2,2019,S2,0.0228,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2020-S1,2020,S1,0.0209,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2020-S2,2020,S2,0.0207,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2021-S1,2021,S1,0.0221,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2021-S2,2021,S2,0.034,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2022-S1,2022,S1,0.0488,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2022-S2,2022,S2,0.0636,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2023-S1,2023,S1,0.0624,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2023-S2,2023,S2,0.0539,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2024-S1,2024,S1,0.0467,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2024-S2,2024,S2,0.0513,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2025-S1,2025,S1,0.0505,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2025-S2,2025,S2,0.0481,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2007-S2,2007,S2,0.0181,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2008-S1,2008,S1,0.0206,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2008-S2,2008,S2,0.0267,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2009-S1,2009,S1,0.0315,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2009-S2,2009,S2,0.0214,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2010-S1,2010,S1,0.024,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2010-S2,2010,S2,0.0303,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2011-S1,2011,S1,0.0287,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2011-S2,2011,S2,0.0318,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2012-S1,2012,S1,0.0361,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2012-S2,2012,S2,0.0399,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2013-S1,2013,S1,0.0358,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2013-S2,2013,S2,0.0352,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2014-S1,2014,S1,0.0352,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2014-S2,2014,S2,0.0341,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2015-S1,2015,S1,0.0321,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2015-S2,2015,S2,0.0269,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2016-S1,2016,S1,0.023,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2016-S2,2016,S2,0.0192,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2017-S1,2017,S1,0.0218,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2017-S2,2017,S2,0.0253,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2018-S1,2018,S1,0.0256,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2018-S2,2018,S2,0.0289,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2019-S1,2019,S1,0.0308,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2019-S2,2019,S2,0.0279,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2020-S1,2020,S1,0.0231,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2020-S2,2020,S2,0.0202,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2021-S1,2021,S1,0.0248,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2021-S2,2021,S2,0.0508,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2022-S1,2022,S1,0.06,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2022-S2,2022,S2,0.1182,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2023-S1,2023,S1,0.0653,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2023-S2,2023,S2,0.046,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2024-S1,2024,S1,0.0418,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2024-S2,2024,S2,0.0431,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2025-S1,2025,S1,0.0491,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2025-S2,2025,S2,0.0414,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2007-S2,2007,S2,0.0245,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2008-S1,2008,S1,0.0319,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2008-S2,2008,S2,0.0394,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2009-S1,2009,S1,0.0335,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2009-S2,2009,S2,0.0272,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2010-S1,2010,S1,0.0308,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2010-S2,2010,S2,0.0362,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2011-S1,2011,S1,0.0313,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2011-S2,2011,S2,0.0345,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2012-S1,2012,S1,0.0335,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2012-S2,2012,S2,0.0338,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2013-S1,2013,S1,0.0336,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2013-S2,2013,S2,0.0332,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2014-S1,2014,S1,0.0315,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2014-S2,2014,S2,0.0304,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2015-S1,2015,S1,0.0297,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2015-S2,2015,S2,0.0294,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2016-S1,2016,S1,0.0262,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2016-S2,2016,S2,0.0258,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2017-S1,2017,S1,0.0238,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2017-S2,2017,S2,0.0245,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2018-S1,2018,S1,0.0256,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2018-S2,2018,S2,0.0267,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2019-S1,2019,S1,0.0293,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2019-S2,2019,S2,0.0286,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2020-S1,2020,S1,0.0254,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2020-S2,2020,S2,0.0252,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2021-S1,2021,S1,0.0251,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2021-S2,2021,S2,0.0328,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2022-S1,2022,S1,0.068,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2022-S2,2022,S2,0.0822,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2023-S1,2023,S1,0.0769,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2023-S2,2023,S2,0.0696,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2024-S1,2024,S1,0.0638,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2024-S2,2024,S2,0.0643,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2025-S1,2025,S1,0.0594,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2025-S2,2025,S2,0.0568,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2007-S2,2007,S2,0.0388,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2008-S1,2008,S1,0.0446,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2008-S2,2008,S2,0.0497,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2009-S1,2009,S1,0.0431,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2009-S2,2009,S2,0.0346,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2010-S1,2010,S1,0.0364,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2010-S2,2010,S2,0.0399,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2011-S1,2011,S1,0.0402,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2011-S2,2011,S2,0.0405,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2012-S1,2012,S1,0.0374,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2012-S2,2012,S2,0.0384,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2013-S1,2013,S1,0.0478,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2013-S2,2013,S2,0.0479,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2014-S1,2014,S1,0.0449,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2014-S2,2014,S2,0.0401,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2015-S1,2015,S1,0.0395,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2015-S2,2015,S2,0.0377,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2016-S1,2016,S1,0.0339,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2016-S2,2016,S2,0.0332,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2017-S1,2017,S1,0.0317,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2017-S2,2017,S2,0.0307,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2018-S1,2018,S1,0.0317,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2018-S2,2018,S2,0.0315,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2019-S1,2019,S1,0.0318,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2019-S2,2019,S2,0.03,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2020-S1,2020,S1,0.0289,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2020-S2,2020,S2,0.0289,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2021-S1,2021,S1,0.0319,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2021-S2,2021,S2,0.0379,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2022-S1,2022,S1,0.0533,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2022-S2,2022,S2,0.0613,2026-05-28
